cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_exact_equivalent_count,unrestricted_constrained_survivor_count,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,constrained_survivor_count,near_true_beta_countermodel,near_true_beta_path_error,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,C0_VALID,71000,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.80274067924534,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71001,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8279030323722086,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,12,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71002,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7656398682860851,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71003,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8046722258901265,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71004,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.792263146913091,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71005,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8086522395455951,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71006,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8355694246873635,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,12,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71007,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7830627050125272,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71008,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7671118909575221,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,2.6645352591003757e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71009,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8018030194580957,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71010,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7817025525836148,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,15,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71011,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8166728805593365,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
