cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_beta_set_kind,unrestricted_exact_equivalent_count,unrestricted_finite_grid_beta_min,unrestricted_finite_grid_beta_max,unrestricted_finite_grid_beta_diameter,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,direct_interval_exists,direct_interval_lower,direct_interval_upper,direct_interval_width,material_countermodel_within_bound,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,R0_VALID,91000,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7948915555887469,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6534517170759708,0.9342039716834376,0.2807522546074668,False,False,False
PRIMARY,R0_VALID,91001,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8180047208316853,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,15,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6724151188804012,0.9633430439783084,0.2909279250979072,False,False,False
PRIMARY,R0_VALID,91002,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7748020534021526,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,19,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6320121873959849,0.9134158855591517,0.2814036981631668,False,False,False
PRIMARY,R0_VALID,91003,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8140822386086529,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6691170422213891,0.956944900167623,0.2878278579462339,False,False,False
PRIMARY,R0_VALID,91004,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7637618753807789,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6141433294965543,0.9134177028771004,0.2992743733805462,False,False,False
PRIMARY,R0_VALID,91005,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8217386814624067,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6755011632341161,0.9680029637789487,0.29250180054483255,False,False,False
PRIMARY,R0_VALID,91006,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8221975992236924,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6788038396873595,0.964293373062636,0.2854895333752765,False,False,False
PRIMARY,R0_VALID,91007,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7814725581480949,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6340977632136781,0.9271353350542051,0.29303757184052703,False,False,False
PRIMARY,R0_VALID,91008,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7820010418360515,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,19,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6331626750763419,0.9308333918077724,0.2976707167314304,False,False,False
PRIMARY,R0_VALID,91009,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.791645782102526,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6425841271891279,0.9405155810719944,0.29793145388286646,False,False,False
