cohort,family,case,forbidden_transition_accepted,exception_type,detail
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,0,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,1,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,2,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,3,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,4,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,5,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,6,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,7,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,8,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,9,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,10,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,11,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,12,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,13,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,14,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,15,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,16,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,17,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,18,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,19,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,20,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,21,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,22,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,23,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,24,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,25,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,26,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,27,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,28,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,29,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,30,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,31,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,32,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,33,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,34,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,35,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,36,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,37,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,38,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,39,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,40,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,41,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,42,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,43,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,44,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,45,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,46,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,47,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,48,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,49,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,50,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,51,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
