cohort,family,case,pass,false_causal_consolidation,retraction_ok,legacy_injection_accepted,tampered_binding_accepted,event_chain_ok,invariant_ok,detail
PRIMARY,M0,0,1,0,,,,1,1,ACTIVE
PRIMARY,M0,1,1,0,,,,1,1,ACTIVE
PRIMARY,M0,2,1,0,,,,1,1,ACTIVE
PRIMARY,M0,3,1,0,,,,1,1,ACTIVE
PRIMARY,M0,4,1,0,,,,1,1,ACTIVE
PRIMARY,M0,5,1,0,,,,1,1,ACTIVE
PRIMARY,M0,6,1,0,,,,1,1,ACTIVE
PRIMARY,M0,7,1,0,,,,1,1,ACTIVE
PRIMARY,M0,8,1,0,,,,1,1,ACTIVE
PRIMARY,M0,9,1,0,,,,1,1,ACTIVE
PRIMARY,M0,10,1,0,,,,1,1,ACTIVE
PRIMARY,M0,11,1,0,,,,1,1,ACTIVE
PRIMARY,M0,12,1,0,,,,1,1,ACTIVE
PRIMARY,M0,13,1,0,,,,1,1,ACTIVE
PRIMARY,M0,14,1,0,,,,1,1,ACTIVE
PRIMARY,M0,15,1,0,,,,1,1,ACTIVE
PRIMARY,M0,16,1,0,,,,1,1,ACTIVE
PRIMARY,M0,17,1,0,,,,1,1,ACTIVE
PRIMARY,M0,18,1,0,,,,1,1,ACTIVE
PRIMARY,M0,19,1,0,,,,1,1,ACTIVE
PRIMARY,M0,20,1,0,,,,1,1,ACTIVE
PRIMARY,M0,21,1,0,,,,1,1,ACTIVE
PRIMARY,M0,22,1,0,,,,1,1,ACTIVE
PRIMARY,M0,23,1,0,,,,1,1,ACTIVE
PRIMARY,M0,24,1,0,,,,1,1,ACTIVE
PRIMARY,M0,25,1,0,,,,1,1,ACTIVE
PRIMARY,M0,26,1,0,,,,1,1,ACTIVE
PRIMARY,M0,27,1,0,,,,1,1,ACTIVE
PRIMARY,M0,28,1,0,,,,1,1,ACTIVE
PRIMARY,M0,29,1,0,,,,1,1,ACTIVE
PRIMARY,M0,30,1,0,,,,1,1,ACTIVE
PRIMARY,M0,31,1,0,,,,1,1,ACTIVE
PRIMARY,M0,32,1,0,,,,1,1,ACTIVE
PRIMARY,M0,33,1,0,,,,1,1,ACTIVE
PRIMARY,M0,34,1,0,,,,1,1,ACTIVE
PRIMARY,M0,35,1,0,,,,1,1,ACTIVE
PRIMARY,M0,36,1,0,,,,1,1,ACTIVE
PRIMARY,M0,37,1,0,,,,1,1,ACTIVE
PRIMARY,M0,38,1,0,,,,1,1,ACTIVE
PRIMARY,M0,39,1,0,,,,1,1,ACTIVE
PRIMARY,M0,40,1,0,,,,1,1,ACTIVE
PRIMARY,M0,41,1,0,,,,1,1,ACTIVE
PRIMARY,M0,42,1,0,,,,1,1,ACTIVE
PRIMARY,M0,43,1,0,,,,1,1,ACTIVE
PRIMARY,M0,44,1,0,,,,1,1,ACTIVE
PRIMARY,M0,45,1,0,,,,1,1,ACTIVE
PRIMARY,M0,46,1,0,,,,1,1,ACTIVE
PRIMARY,M0,47,1,0,,,,1,1,ACTIVE
PRIMARY,M0,48,1,0,,,,1,1,ACTIVE
PRIMARY,M0,49,1,0,,,,1,1,ACTIVE
PRIMARY,M0,50,1,0,,,,1,1,ACTIVE
PRIMARY,M0,51,1,0,,,,1,1,ACTIVE
PRIMARY,M0,52,1,0,,,,1,1,ACTIVE
PRIMARY,M0,53,1,0,,,,1,1,ACTIVE
PRIMARY,M0,54,1,0,,,,1,1,ACTIVE
PRIMARY,M0,55,1,0,,,,1,1,ACTIVE
PRIMARY,M0,56,1,0,,,,1,1,ACTIVE
PRIMARY,M0,57,1,0,,,,1,1,ACTIVE
PRIMARY,M0,58,1,0,,,,1,1,ACTIVE
PRIMARY,M0,59,1,0,,,,1,1,ACTIVE
PRIMARY,M0,60,1,0,,,,1,1,ACTIVE
PRIMARY,M0,61,1,0,,,,1,1,ACTIVE
PRIMARY,M0,62,1,0,,,,1,1,ACTIVE
PRIMARY,M0,63,1,0,,,,1,1,ACTIVE
PRIMARY,M0,64,1,0,,,,1,1,ACTIVE
PRIMARY,M0,65,1,0,,,,1,1,ACTIVE
PRIMARY,M0,66,1,0,,,,1,1,ACTIVE
PRIMARY,M0,67,1,0,,,,1,1,ACTIVE
PRIMARY,M0,68,1,0,,,,1,1,ACTIVE
PRIMARY,M0,69,1,0,,,,1,1,ACTIVE
PRIMARY,M0,70,1,0,,,,1,1,ACTIVE
PRIMARY,M0,71,1,0,,,,1,1,ACTIVE
PRIMARY,M0,72,1,0,,,,1,1,ACTIVE
PRIMARY,M0,73,1,0,,,,1,1,ACTIVE
PRIMARY,M0,74,1,0,,,,1,1,ACTIVE
PRIMARY,M0,75,1,0,,,,1,1,ACTIVE
PRIMARY,M0,76,1,0,,,,1,1,ACTIVE
PRIMARY,M0,77,1,0,,,,1,1,ACTIVE
PRIMARY,M0,78,1,0,,,,1,1,ACTIVE
PRIMARY,M0,79,1,0,,,,1,1,ACTIVE
PRIMARY,M0,80,1,0,,,,1,1,ACTIVE
