cohort,family,case,pass,state,selected_action,certificate_valid_before,digest_deterministic,mutated_world_certificate_accepted,stale_certificate_accepted,dropped_world_certificate_accepted,no_causal_truth_field,information_state,necessary_information_cost
PRIMARY,P0,0,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,1,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,2,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,3,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,4,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,5,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,6,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,7,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,8,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,9,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,10,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,11,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,12,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,13,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,14,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,15,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,16,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,17,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,18,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,19,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,20,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,21,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,22,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,23,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,24,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,25,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,26,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,27,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,28,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,29,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,30,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,31,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,32,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,33,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,34,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,35,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,36,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,37,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,38,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,39,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,40,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,41,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,42,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,43,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,44,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,45,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,46,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,47,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,48,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,49,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,50,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,51,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,52,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,53,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,54,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,55,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,56,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,57,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,58,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,59,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,60,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,61,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,62,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,63,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,64,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,65,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,66,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,67,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,68,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,69,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,70,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,71,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,72,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,73,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,74,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,75,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,76,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,77,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,78,1,ROBUST_ACTION,A,1,1,0,,,1,,
