seed,context,mode,method,top1_A,false_credit_mass,score_A,score_C,score_D,score_B,structural_evaluations,max_efficiency_error
12000,TRAIN_CONFOUNDED,NORMAL,EXACT_CF_SHAPLEY,True,2.6758109616942245e-16,1.0,8.919369872314083e-17,8.919369872314083e-17,8.919369872314083e-17,10368,2.220446049250313e-16
12000,TRAIN_CONFOUNDED,NORMAL,OBS_ASSOC,False,0.7336744104335128,0.4178242414116383,0.7686343445468663,0.016854910833356565,0.3655340258654761,0,
12000,TRAIN_CONFOUNDED,NORMAL,RECENCY,False,0.9,0.25,0.5,0.75,1.0,0,
12000,TRAIN_CONFOUNDED,NORMAL,UNIFORM,False,0.75,1.0,1.0,1.0,1.0,0,
12000,TRAIN_CONFOUNDED,NORMAL,MC_CF_SHAPLEY_4,True,0.5064935064935064,1.0390625,0.38671875,0.3515625,0.328125,2560,
12000,TRAIN_CONFOUNDED,NORMAL,MC_CF_SHAPLEY_16,True,0.36577805331680097,0.9990234375,0.2041015625,0.1943359375,0.177734375,10240,
12000,TRAIN_CONFOUNDED,NORMAL,MC_CF_SHAPLEY_64,True,0.23680297397769517,1.00244140625,0.1064453125,0.10107421875,0.103515625,40960,
12000,TRAIN_CONFOUNDED,NORMAL,TD_ELIGIBILITY_PROXY,False,0.8026146546963775,0.47505278556509417,1.0923908017649377,0.02994661518517719,0.8093375352221467,0,
12000,TRAIN_CONFOUNDED,NORMAL,RANDOM,False,0.8121435191479071,0.3681800812432684,0.9935093590925241,0.0747649075339426,0.5234465273795557,0,
12000,OOD_WEAK_CONFOUNDER,NORMAL,EXACT_CF_SHAPLEY,True,7.936359902593892e-17,1.0,2.6454533008646308e-17,2.6454533008646308e-17,2.6454533008646308e-17,10368,2.220446049250313e-16
12000,OOD_WEAK_CONFOUNDER,NORMAL,OBS_ASSOC,True,0.42411107809634074,0.9597143202094407,0.04566383708602448,0.013853928085746692,0.6472599822852535,0,
12000,OOD_WEAK_CONFOUNDER,NORMAL,RECENCY,False,0.9,0.25,0.5,0.75,1.0,0,
12000,OOD_WEAK_CONFOUNDER,NORMAL,UNIFORM,False,0.75,1.0,1.0,1.0,1.0,0,
12000,OOD_WEAK_CONFOUNDER,NORMAL,MC_CF_SHAPLEY_4,True,0.5149253731343284,1.015625,0.36328125,0.36328125,0.3515625,2560,
12000,OOD_WEAK_CONFOUNDER,NORMAL,MC_CF_SHAPLEY_16,True,0.37117903930131,0.984375,0.20703125,0.197265625,0.1767578125,10240,
12000,OOD_WEAK_CONFOUNDER,NORMAL,MC_CF_SHAPLEY_64,True,0.2342359050445104,1.008056640625,0.093017578125,0.10595703125,0.109375,40960,
