family,method,budget,n_rows,mean_rmse_true_teacher,mean_rmse_model_teacher,mean_false_credit_mass_true,max_false_credit_mass_true,topset_recovery,mean_max_estimator_variance,max_estimator_variance,mean_actual_evaluations,mean_model_teacher_false_mass_true
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,8,3072,8.410694690565604e-17,8.410694690565604e-17,0.0,0.0,1.0,0.0,0.0,9.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,16,3072,8.410694690565604e-17,8.410694690565604e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,32,3072,8.410694690565604e-17,8.410694690565604e-17,0.0,0.0,1.0,0.0,0.0,33.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,64,3072,8.410694690565604e-17,8.410694690565604e-17,0.0,0.0,1.0,0.0,0.0,65.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,128,3072,8.410694690565604e-17,8.410694690565604e-17,0.0,0.0,1.0,0.0,0.0,129.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,256,3072,8.410694690565604e-17,8.410694690565604e-17,0.0,0.0,1.0,0.0,0.0,257.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,8,3072,0.2457682291666667,0.2457682291666667,0.0,0.0,1.0,0.5084635416666666,1.0,9.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,16,3072,0.18261718750000003,0.18261718750000003,0.0,0.0,1.0,0.2527669270833333,0.3333333333333333,17.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,32,3072,0.13680013020833334,0.13680013020833334,0.0,0.0,1.0,0.1250697544642857,0.14285714285714285,33.0,2.1603857664036673e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,64,3072,0.10005696614583336,0.10005696614583336,0.0,0.0,1.0,0.062338595920138885,0.06666666666666667,65.0,2.1603857664036673e-16
