family,method,budget,n_rows,mean_rmse_true_teacher,mean_rmse_model_teacher,mean_false_credit_mass_true,max_false_credit_mass_true,topset_recovery,mean_max_estimator_variance,max_estimator_variance,mean_actual_evaluations,mean_model_teacher_false_mass_true
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,8,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,9.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,16,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,32,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,33.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,64,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,65.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,128,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,129.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,256,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,257.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,8,768,0.25390625000000006,0.25390625000000006,0.0,0.0,1.0,0.4921875,1.0,9.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,16,768,0.1822916666666667,0.1822916666666667,0.0,0.0,1.0,0.25434027777777773,0.3333333333333333,17.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,32,768,0.13899739583333334,0.13899739583333334,0.0,0.0,1.0,0.12483723958333333,0.14285714285714285,33.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,64,768,0.09781901041666669,0.09781901041666669,0.0,0.0,1.0,0.06264919704861112,0.06666666666666667,65.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,128,768,0.07157389322916667,0.07157389322916667,0.0,0.0,1.0,0.03125082036500336,0.03225806451612903,129.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,256,768,0.047322591145833336,0.047322591145833336,0.0,0.0,1.0,0.015644981747581842,0.015873015873015872,257.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,8,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,16,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,32,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,33.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,64,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,65.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,128,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,129.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,256,768,8.387936904625782e-17,8.387936904625782e-17,0.0,0.0,1.0,0.0,0.0,257.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,8,768,0.6214813006829969,0.6214813006829969,0.510022941468254,1.0,0.7747395833333334,1.1588541666666667,4.0,9.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,16,768,0.4621026179481409,0.4621026179481409,0.5029715401785714,1.0,0.8606770833333334,0.4483506944444444,1.0,17.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,32,768,0.3279054318826286,0.3279054318826286,0.4342992221898472,1.0,0.9505208333333334,0.1956263950892857,0.49107142857142855,33.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,64,768,0.2315971722274309,0.2315971722274309,0.3539635731221085,0.75,0.9934895833333334,0.08672281901041667,0.18229166666666666,65.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,128,768,0.16145495828196918,0.16145495828196918,0.2821306572359267,0.6,0.9986979166666666,0.03975259104082661,0.067414314516129,129.0,2.1771683125319323e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,256,768,0.11552508192561216,0.11552508192561216,0.21810924420966424,0.5434782608695652,1.0,0.018565344432043652,0.028754340277777776,257.0,2.1771683125319323e-16
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,8,512,0.46379466009795906,0.46379466009795906,0.0,0.0,1.0,0.0,0.0,9.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,16,512,0.32449580230489733,0.32449580230489733,0.0,0.0,1.0,0.4112500000000001,0.6400000000000003,17.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,32,512,0.2059585271683565,0.2059585271683565,0.0,0.0,1.0,0.16843750000000005,0.21333333333333346,33.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,64,512,0.15084387950032388,0.15084387950032388,0.0,0.0,1.0,0.07578125000000002,0.09142857142857148,65.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,128,512,0.10778316569052566,0.10778316569052566,0.0,0.0,1.0,0.03590234375000001,0.04266666666666669,129.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,256,512,0.07667753449089953,0.07667753449089953,0.0,0.0,1.0,0.017054403981854843,0.020645161290322584,257.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,8,512,0.6066357698319075,0.6066357698319075,0.0,0.0,1.0,1.4203906250000002,3.240000000000001,9.0,4.124879053520292e-17
