family,method,budget,n_rows,mean_rmse_true_teacher,mean_rmse_model_teacher,mean_false_credit_mass_true,max_false_credit_mass_true,topset_recovery,mean_max_estimator_variance,max_estimator_variance,mean_actual_evaluations,mean_model_teacher_false_mass_true
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,8,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,9.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,16,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,32,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,33.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,64,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,65.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,128,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,129.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,256,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,257.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,8,3072,0.24951171875000003,0.24951171875000003,0.0,0.0,1.0,0.5009765625,1.0,9.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,16,3072,0.19295247395833337,0.19295247395833337,0.0,0.0,1.0,0.24709743923611108,0.3333333333333333,17.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,32,3072,0.13566080729166669,0.13566080729166669,0.0,0.0,1.0,0.12527320498511904,0.14285714285714285,33.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,64,3072,0.09757486979166669,0.09757486979166669,0.0,0.0,1.0,0.06252780490451389,0.06666666666666667,65.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,128,3072,0.07222493489583334,0.07222493489583334,0.0,0.0,1.0,0.031179776755712364,0.03225806451612903,129.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,256,3072,0.04886372884114584,0.04886372884114584,0.0,0.0,1.0,0.015632725266552475,0.015873015873015872,257.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,8,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,16,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,32,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,33.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,64,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,65.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,128,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,129.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,DOUBLE_ANTITHETIC_CRN_MC,256,3072,8.457337660549739e-17,8.457337660549739e-17,0.0,0.0,1.0,0.0,0.0,257.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,8,3072,0.638356236508697,0.638356236508697,0.5154723152281746,1.0,0.7708333333333334,1.1402994791666667,4.0,9.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,16,3072,0.46033964177207065,0.46033964177207065,0.4934094948743386,1.0,0.8603515625,0.45684136284722215,1.3333333333333333,17.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,32,3072,0.3300990508717026,0.3300990508717026,0.43424074388429856,1.0,0.9371744791666666,0.19620477585565477,0.49107142857142855,33.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,64,3072,0.23388170046936815,0.23388170046936815,0.3596017830591338,0.8571428571428571,0.9892578125,0.08666280110677083,0.18229166666666666,65.0,2.1448455352647082e-16
E0_SINGLE_CAUSE,LEGACY_INDEPENDENT_MC,128,3072,0.16514110955495098,0.16514110955495098,0.2874669831351531,0.6666666666666666,0.9996744791666666,0.03973679901451193,0.07346270161290322,129.0,2.1448455352647082e-16
