family,method,budget,n_rows,mean_rmse_true_teacher,mean_rmse_model_teacher,mean_false_credit_mass_true,max_false_credit_mass_true,topset_recovery,mean_max_estimator_variance,max_estimator_variance,mean_actual_evaluations,mean_model_teacher_false_mass_true
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,8,3072,8.478137028072738e-17,8.478137028072738e-17,0.0,0.0,1.0,0.0,0.0,9.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,16,3072,8.478137028072738e-17,8.478137028072738e-17,0.0,0.0,1.0,0.0,0.0,17.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,32,3072,8.478137028072738e-17,8.478137028072738e-17,0.0,0.0,1.0,0.0,0.0,33.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,64,3072,8.478137028072738e-17,8.478137028072738e-17,0.0,0.0,1.0,0.0,0.0,65.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,128,3072,8.478137028072738e-17,8.478137028072738e-17,0.0,0.0,1.0,0.0,0.0,129.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,ANTITHETIC_CRN_MC,256,3072,8.478137028072738e-17,8.478137028072738e-17,0.0,0.0,1.0,0.0,0.0,257.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,8,3072,0.24609375000000003,0.24609375000000003,0.0,0.0,1.0,0.5078125,1.0,9.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,16,3072,0.1888834635416667,0.1888834635416667,0.0,0.0,1.0,0.24948459201388887,0.3333333333333333,17.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,32,3072,0.13545735677083334,0.13545735677083334,0.0,0.0,1.0,0.12527029854910712,0.14285714285714285,33.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,64,3072,0.10028076171875001,0.10028076171875001,0.0,0.0,1.0,0.062384372287326385,0.06666666666666667,65.0,2.1769424370793312e-16
E0_SINGLE_CAUSE,CRN_CHAIN_MC,128,3072,0.06930541992187501,0.06930541992187501,0.0,0.0,1.0,0.03126201834729923,0.03225806451612903,129.0,2.1769424370793312e-16
