cohort,family,seed,n_observed,state,beta_hat,beta_se,relevant_instruments,max_overidentification_z,max_negative_control_z,z_critical,causal_authority_granted,has_exclusion_debt,has_measurement_debt
PRIMARY,V0_VALID,50000,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8221778489933442,0.019159701272142303,2,1.78473535292486,0.9523917549036539,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50001,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8096767264086147,0.019298053291454592,2,0.8039671774346705,0.7112118371271303,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50002,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8035986759593685,0.019638418327242398,2,1.2201126926648325,0.026269612996803984,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50003,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8353442431262947,0.01807787868576939,2,1.0226269006764976,1.6093873614054695,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50004,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8062132712944212,0.018821206025458153,2,0.033265998198494975,0.47835512892400434,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50005,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8079190606060282,0.019063841028147344,2,0.058417371804032475,0.4418773139172869,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50006,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7940768378786152,0.01999885599230171,2,0.6785638024731598,0.8320078736280064,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50007,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7876319581621648,0.020017623972430704,2,0.590140049880191,1.9675385185520735,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50008,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8287442182251155,0.01918635315381007,2,0.8338116586582213,0.5934914408808257,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50009,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.829548912888944,0.019121467219963814,2,1.6539648405332041,2.374267027754244,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50010,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8275664731105015,0.019831019865833216,2,0.9223229492455852,0.5823807616871342,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50011,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8157075995764856,0.018334890470540495,2,0.3957564334939003,0.9178861934335084,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50012,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7585191653191691,0.020204720287664367,2,0.015054526735531733,1.766302392366507,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50013,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.817126694968763,0.019416575427873048,2,1.0046958427219108,0.9592514467243393,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50014,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.79216073409066,0.020139069904254032,2,0.28130791228831237,0.3303882193728536,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50015,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7882791830374251,0.018958009319192816,2,0.29744981787087355,1.4358519221277068,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50016,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8163689278324663,0.01863615314126403,2,0.03679139812461908,1.4373451978034597,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50017,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.773836907559573,0.02049715909370623,2,1.5095068961058944,1.8554282854735642,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50018,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.780853858327768,0.02002359098162906,2,0.4230487531227419,0.836904436683388,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50019,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8340613385256532,0.018573149645350284,2,0.6759184514064076,0.7205766515333955,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50020,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8044250041347302,0.02017674009991523,2,1.8768623121846089,1.9073122656195018,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50021,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7837637393061876,0.020094736425722348,2,0.7039219565682483,0.44763727610496606,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50022,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7878799811972739,0.019421532152761465,2,0.215749006106139,0.7863623600176028,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50023,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7884250016782988,0.019340024736628443,2,0.14449203227648727,0.8039661616134756,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50024,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8049112065741566,0.01952544091698683,2,0.11677614768674988,2.101871430724435,3.090232306167813,False,True,True
PRIMARY,V0_VALID,50025,4096,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.774295738914602,0.019359118026419275,2,0.21337306241160303,1.897301985332083,3.090232306167813,False,True,True
