seed,context,gamma,method,top1_A,false_credit_mass,score_A,score_C,score_D,score_B,max_efficiency_error,counterfactual_structural_evaluations
1000,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,3.056251574788757e-16,0.5,5.09375262464793e-17,5.09375262464793e-17,5.09375262464793e-17,1.1102230246251565e-16,20736
1000,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7244793327105087,0.3647318975571966,0.8729726418268468,0.02551442712153195,0.060572461358420766,1.1102230246251565e-16,20736
1000,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1000,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1001,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.8658830374757213e-16,0.5,4.776471729126203e-17,4.776471729126203e-17,4.776471729126203e-17,1.1102230246251565e-16,20736
1001,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7022030598308091,0.4235333911230298,0.8756756801785205,0.015760736429622783,0.10725229731262875,1.1102230246251565e-16,20736
1001,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1001,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1002,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.4076826822408757e-16,0.5,4.01280447040146e-17,4.01280447040146e-17,4.01280447040146e-17,1.1102230246251565e-16,20736
1002,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7197308222841039,0.4404602291084471,0.8848958304568352,0.07909911532582295,0.16710625294072712,1.1102230246251565e-16,20736
1002,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1002,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1003,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.800358686258497e-16,0.5,4.667264477097495e-17,4.667264477097495e-17,4.667264477097495e-17,1.1102230246251565e-16,20736
1003,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7157769719498209,0.42764402152634934,0.8761665295839027,0.06772000876242083,0.13307666516487632,1.1102230246251565e-16,20736
1003,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1003,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
