cohort,seed,family,true_causal_set,provisional_candidate,state,accepted_candidate,false_authority,no_abstention_false_authority,intervention_nrmse,model_disagreement,rank_stability,ood_score,factual_rmse,mean_false_credit_mass
PRIMARY,41000,M6_REDUNDANT_CAUSES,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.04466854384902547,0.008062475210310225,1.0,3.362892967957227,0.14848555192700652,0.03563442377843689
PRIMARY,41000,M7_SYNERGISTIC_CAUSES,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,1.0007209530752836,0.8523743874166457,0.5833333333333334,3.360733387445708,0.6337205583648332,0.16213309093959843
PRIMARY,41000,M8_VARIABLE_DELAY,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.06166088064496783,0.03468127739354369,1.0,3.095738134411782,0.19563149205390598,0.05132378902465346
PRIMARY,41000,M9_LATENT_CONFOUNDER_SHIFT,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.530934530297201,0.04771346796527531,1.0,3.2283752795791605,3.118671828206222,0.6349984616535748
PRIMARY,41000,M10_CONTEXT_DEPENDENT_CAUSALITY,A|D,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.07032073605670222,0.041509682465384265,1.0,3.182728631418652,0.26690439356830764,0.052767761653566524
PRIMARY,41000,M11_SHARED_MODEL_CLASS_MISSPECIFICATION,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.8387592842699982,0.1585176802786725,1.0,2.671056227113217,0.44747549195285247,0.8005649042154449
PRIMARY,41000,N0_ZERO_CAUSE,,C,FALSIFIED_NO_LEVERAGE,,False,True,3.12889340420723,0.046039491611672964,1.0,3.2562353693678454,0.8878064411934741,1.0
PRIMARY,41001,M6_REDUNDANT_CAUSES,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.03351567173322302,0.012006266370865834,1.0,3.2486730968337376,0.14382854836213124,0.017514463412576863
PRIMARY,41001,M7_SYNERGISTIC_CAUSES,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,1.0137727321236225,0.2824449509349671,0.6666666666666666,3.323824163670377,0.6651126631874832,0.11443929914768097
PRIMARY,41001,M8_VARIABLE_DELAY,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.0664468760242047,0.05724016861450035,1.0,3.256071911717749,0.21000091525970918,0.03807030583220735
PRIMARY,41001,M9_LATENT_CONFOUNDER_SHIFT,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.648033910175558,0.029820289808860874,1.0,3.324013001573224,3.3080783530448885,0.6346012532012977
PRIMARY,41001,M10_CONTEXT_DEPENDENT_CAUSALITY,A|D,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.0676844990682393,0.06477732601875137,1.0,3.110684484864861,0.22775194971009677,0.05755373134856859
PRIMARY,41001,M11_SHARED_MODEL_CLASS_MISSPECIFICATION,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.759812331607201,0.03138481500992053,1.0,2.9185691155150364,0.7464306668572864,0.8364262851881976
PRIMARY,41001,N0_ZERO_CAUSE,,C,FALSIFIED_NO_LEVERAGE,,False,True,2.9956940368414298,0.037576606389851074,1.0,3.333219017865541,1.140633491070216,1.0
PRIMARY,41002,M6_REDUNDANT_CAUSES,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.03596704987260414,0.014153352119100916,1.0,3.2896476937349366,0.16165667766779854,0.020787166578066972
PRIMARY,41002,M7_SYNERGISTIC_CAUSES,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.9936046164429966,0.6537997115281973,0.4166666666666667,3.3620851961225195,0.6385959951991954,0.1788419257409763
PRIMARY,41002,M8_VARIABLE_DELAY,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.07038891933191568,0.034017651157795356,1.0,3.205221557410214,0.21441093861028473,0.047331280787487176
PRIMARY,41002,M9_LATENT_CONFOUNDER_SHIFT,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.488016696626725,0.027479233192376006,1.0,3.285629195375478,3.191862559150775,0.6352671896186224
PRIMARY,41002,M10_CONTEXT_DEPENDENT_CAUSALITY,A|D,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.06207024665218515,0.0622943196314529,1.0,3.259064892927083,0.2636221647155555,0.055724601698157586
PRIMARY,41002,M11_SHARED_MODEL_CLASS_MISSPECIFICATION,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.696001192328752,0.014564508412774272,1.0,2.776057012572321,0.3223330262159574,0.8588676888823095
PRIMARY,41002,N0_ZERO_CAUSE,,C,FALSIFIED_NO_LEVERAGE,,False,True,2.877891218888265,0.05593343570058827,1.0,3.337579897607063,0.8591574540962523,1.0
PRIMARY,41003,M6_REDUNDANT_CAUSES,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.03650940345323962,0.015664457810698015,1.0,3.2489909584897694,0.14818064452802637,0.019021931274326557
PRIMARY,41003,M7_SYNERGISTIC_CAUSES,A|B,B,ABSTAIN_UNCERTAIN_MODEL,,False,False,1.0111074421484878,0.6357848858519025,0.4166666666666667,3.2596141238559864,0.5727613299981053,0.17018308329442886
PRIMARY,41003,M8_VARIABLE_DELAY,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.08265102683284814,0.030926746515422925,1.0,3.1174944310626835,0.19176336961107826,0.029075723491881637
PRIMARY,41003,M9_LATENT_CONFOUNDER_SHIFT,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.59919588180185,0.02880925118907088,1.0,3.419005288376611,3.2258193903081667,0.6470853166811651
PRIMARY,41003,M10_CONTEXT_DEPENDENT_CAUSALITY,A|D,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.06049000423519338,0.025405232015059714,1.0,3.2106019062783915,0.24716132138363153,0.03815012251689652
PRIMARY,41003,M11_SHARED_MODEL_CLASS_MISSPECIFICATION,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.6949202174760405,0.09885496265252457,1.0,2.728171317601638,0.4147453605853041,0.8309204444272784
PRIMARY,41003,N0_ZERO_CAUSE,,C,FALSIFIED_NO_LEVERAGE,,False,True,3.1625981711236455,0.03367794990638137,1.0,3.372699130811754,0.9786112802029702,1.0
PRIMARY,41004,M6_REDUNDANT_CAUSES,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.05578309534020643,0.01955067927648585,1.0,3.233833175293356,0.15071197161490918,0.020407008632792097
PRIMARY,41004,M7_SYNERGISTIC_CAUSES,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,1.0085345166136386,0.7070161512514336,0.3333333333333333,3.322270514866219,0.6363840902767655,0.14420898792140416
PRIMARY,41004,M8_VARIABLE_DELAY,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.0935721941043973,0.06620682843263996,1.0,3.1567015391391635,0.18959502778359166,0.028319896397905792
PRIMARY,41004,M9_LATENT_CONFOUNDER_SHIFT,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.4696835288942824,0.042871240089436956,1.0,3.3421283171138336,3.1475515703259176,0.6395753362909693
PRIMARY,41004,M10_CONTEXT_DEPENDENT_CAUSALITY,A|D,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.08491221556837157,0.044741833855671855,1.0,3.1845239150404634,0.22041975997497906,0.05408543081813024
PRIMARY,41004,M11_SHARED_MODEL_CLASS_MISSPECIFICATION,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.7849197104728287,0.10055383158513903,1.0,2.730692479208036,0.45929733386562727,0.7978205206049609
PRIMARY,41004,N0_ZERO_CAUSE,,C,FALSIFIED_NO_LEVERAGE,,False,True,3.1842061044891796,0.04389617737307302,1.0,3.310894202519712,1.0314535592528256,1.0
PRIMARY,41005,M6_REDUNDANT_CAUSES,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.03351049368455794,0.016944525510302566,1.0,3.316636754806947,0.14950791463971,0.02224565449261464
PRIMARY,41005,M7_SYNERGISTIC_CAUSES,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,1.0030611355161714,0.7672357526408422,0.5,3.3957849034622094,0.6875815833682017,0.1483264320266771
PRIMARY,41005,M8_VARIABLE_DELAY,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.06724378513080802,0.027597366707629054,1.0,3.0638243065915955,0.20908736292213986,0.05576764293118128
PRIMARY,41005,M9_LATENT_CONFOUNDER_SHIFT,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.4980420199196227,0.06751196663648452,1.0,3.288746013639792,3.109720577306188,0.6481386951183161
PRIMARY,41005,M10_CONTEXT_DEPENDENT_CAUSALITY,A|D,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.07195033508345483,0.061164633840004756,1.0,3.154326676125338,0.23767613764118872,0.052645660811113944
PRIMARY,41005,M11_SHARED_MODEL_CLASS_MISSPECIFICATION,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.7744044962604786,0.10458101923926633,1.0,2.8694718272472084,0.5707402536207651,0.8117787829857261
PRIMARY,41005,N0_ZERO_CAUSE,,C,FALSIFIED_NO_LEVERAGE,,False,True,3.157161075514415,0.0409621320985981,1.0,3.345168763988039,0.9560141276215475,1.0
PRIMARY,41006,M6_REDUNDANT_CAUSES,A|B,A,ACCEPT_CAUSAL_CREDIT,A,False,False,0.03730408249400134,0.01459240818393554,1.0,3.31053792688612,0.15875603239192185,0.024786278417086298
PRIMARY,41006,M7_SYNERGISTIC_CAUSES,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,1.0092175223539293,0.674676204005349,0.5833333333333334,3.287757937289765,0.5916118235500969,0.18218829022798586
PRIMARY,41006,M8_VARIABLE_DELAY,A|B,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.06378365273830132,0.04586311940049818,1.0,3.0157436053162665,0.23485607332983352,0.03793035626907847
PRIMARY,41006,M9_LATENT_CONFOUNDER_SHIFT,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.5174838404613153,0.029702011094420392,1.0,3.310132603775279,3.2086944432883495,0.6258602417088034
PRIMARY,41006,M10_CONTEXT_DEPENDENT_CAUSALITY,A|D,A,ABSTAIN_UNCERTAIN_MODEL,,False,False,0.06315808211576178,0.04825297989893482,1.0,3.1860749813240257,0.26175069986608684,0.061096601532642326
PRIMARY,41006,M11_SHARED_MODEL_CLASS_MISSPECIFICATION,A,C,ABSTAIN_UNCERTAIN_MODEL,,False,True,1.7187006577278137,0.13706662094098765,1.0,2.7266025294419576,0.5416357736805691,0.7991034498669773
PRIMARY,41006,N0_ZERO_CAUSE,,C,FALSIFIED_NO_LEVERAGE,,False,True,3.168257631910114,0.03345048366304898,1.0,3.3101721528818278,1.1823481453245386,1.0
